date,nav
01-12-2019,1027.43730
29-11-2019,1027.43730
28-11-2019,1027.43730
27-11-2019,1027.43730
26-11-2019,1027.43730
25-11-2019,1027.43730
24-11-2019,1027.43730
22-11-2019,1027.43730
21-11-2019,1027.43730
20-11-2019,1027.43730
19-11-2019,1027.43730
18-11-2019,1027.43730
17-11-2019,1027.43730
15-11-2019,1027.43730
14-11-2019,1027.43730
13-11-2019,1027.43730
12-11-2019,1027.43730
11-11-2019,1027.43730
10-11-2019,1027.43730
08-11-2019,1027.43730
07-11-2019,1027.43730
06-11-2019,1027.43730
05-11-2019,1027.43730
04-11-2019,1027.43730
03-11-2019,1027.43730
01-11-2019,1027.43730
31-10-2019,1027.43730
30-10-2019,1027.43730
29-10-2019,1027.43730
28-10-2019,1027.43730
25-10-2019,1027.43730
24-10-2019,1027.43730
23-10-2019,1027.43730
22-10-2019,1027.43730
21-10-2019,1027.43730
18-10-2019,1027.43730
17-10-2019,1027.43730
16-10-2019,1027.43730
15-10-2019,1027.43730
14-10-2019,1027.43730
13-10-2019,1027.43730
11-10-2019,1027.43730
10-10-2019,1027.43730
09-10-2019,1027.43730
08-10-2019,1027.43730
07-10-2019,1027.43730
06-10-2019,1027.43730
04-10-2019,1027.43730
03-10-2019,1027.43730
02-10-2019,1027.43730
01-10-2019,1027.43730
30-09-2019,1027.43730
29-09-2019,1027.43730
27-09-2019,1027.43730
26-09-2019,1027.43730
25-09-2019,1027.43730
24-09-2019,1027.43730
23-09-2019,1027.43730
22-09-2019,1027.43730
20-09-2019,1027.43730
19-09-2019,1027.43730
18-09-2019,1027.43730
17-09-2019,1027.43730
16-09-2019,1027.43730
15-09-2019,1027.43730
14-09-2019,1027.43730
13-09-2019,1027.43730
12-09-2019,1027.43730
11-09-2019,1027.43730
10-09-2019,1027.43730
09-09-2019,1027.43730
08-09-2019,1027.43730
06-09-2019,1027.43730
05-09-2019,1027.43730
04-09-2019,1027.43730
03-09-2019,1027.43730
02-09-2019,1027.43730
30-08-2019,1027.43730
29-08-2019,1027.43730
28-08-2019,1027.43730
27-08-2019,1027.43730
26-08-2019,1027.43730
25-08-2019,1027.43730
24-08-2019,1027.43730
23-08-2019,1027.43730
22-08-2019,1027.43730
21-08-2019,1027.43730
20-08-2019,1027.43730
19-08-2019,1027.43730
18-08-2019,1027.43730
17-08-2019,1027.43730
16-08-2019,1027.43730
15-08-2019,1027.43730
14-08-2019,1027.43730
13-08-2019,1027.43730
12-08-2019,1027.43730
10-08-2019,1027.43730
09-08-2019,1027.43730
08-08-2019,1027.43730
07-08-2019,1027.43730
06-08-2019,1027.43730
05-08-2019,1027.43730
04-08-2019,1027.43730
02-08-2019,1027.43730
01-08-2019,1027.43730
31-07-2019,1027.43730
30-07-2019,1027.43730
29-07-2019,1027.43730
28-07-2019,1027.43730
27-07-2019,1027.43730
26-07-2019,1027.43730
25-07-2019,1027.43730
24-07-2019,1027.43730
23-07-2019,1027.43730
22-07-2019,1027.43730
21-07-2019,1027.43730
19-07-2019,1027.43730
18-07-2019,1027.43730
17-07-2019,1027.43730
16-07-2019,1027.43730
15-07-2019,1027.43730
14-07-2019,1027.43730
12-07-2019,1027.43730
11-07-2019,1027.43730
10-07-2019,1027.43730
09-07-2019,1027.43730
08-07-2019,1027.43730
07-07-2019,1027.43730
05-07-2019,1027.43730
04-07-2019,1027.43730
03-07-2019,1027.43730
02-07-2019,1027.43730
01-07-2019,1027.43730
30-06-2019,1027.43730
28-06-2019,1027.43730
27-06-2019,1027.43730
26-06-2019,1027.43730
25-06-2019,1027.43730
24-06-2019,1027.43730
23-06-2019,1027.43730
22-06-2019,1027.43730
21-06-2019,1027.43730
20-06-2019,1027.43730
19-06-2019,1027.43730
18-06-2019,1027.43730
17-06-2019,1027.43730
16-06-2019,1027.43730
14-06-2019,1027.43730
13-06-2019,1027.43730
12-06-2019,1027.43730
11-06-2019,1027.43730
10-06-2019,1027.43730
09-06-2019,1027.43730
07-06-2019,1027.43730
06-06-2019,1027.43730
05-06-2019,1027.43730
04-06-2019,1027.43730
03-06-2019,1027.43730
02-06-2019,1027.43730
31-05-2019,1027.43730
30-05-2019,1027.43730
29-05-2019,1027.43730
28-05-2019,1027.43730
27-05-2019,1027.43730
26-05-2019,1027.43730
25-05-2019,1027.43730
24-05-2019,1027.43730
23-05-2019,1027.43730
22-05-2019,1027.43730
21-05-2019,1027.43730
20-05-2019,1027.43730
19-05-2019,1027.43730
17-05-2019,1027.43730
16-05-2019,1027.43730
15-05-2019,1027.43730
14-05-2019,1027.43730
13-05-2019,1027.43730
12-05-2019,1027.43730
10-05-2019,1027.43730
09-05-2019,1027.43730
08-05-2019,1027.43730
07-05-2019,1027.43730
06-05-2019,1027.43730
05-05-2019,1027.43730
03-05-2019,1027.43730
02-05-2019,1027.43730
01-05-2019,1027.43730
30-04-2019,1027.43730
29-04-2019,1027.43730
26-04-2019,1027.43730
25-04-2019,1027.43730
24-04-2019,1027.43730
23-04-2019,1027.43730
22-04-2019,1027.43730
21-04-2019,1027.43730
19-04-2019,1027.43730
18-04-2019,1027.43730
17-04-2019,1027.43730
16-04-2019,1027.43730
15-04-2019,1027.43730
14-04-2019,1027.43730
12-04-2019,1027.43730
11-04-2019,1027.43730
10-04-2019,1027.43730
09-04-2019,1027.43730
08-04-2019,1027.43730
07-04-2019,1027.43730
05-04-2019,1027.43730
04-04-2019,1027.43730
03-04-2019,1027.43730
02-04-2019,1027.43730
01-04-2019,1027.43730
31-03-2019,1027.43730
29-03-2019,1027.43730
28-03-2019,1027.43730
27-03-2019,1027.43730
26-03-2019,1027.43730
25-03-2019,1027.43730
24-03-2019,1027.43730
22-03-2019,1027.43730
21-03-2019,1027.43730
20-03-2019,1027.43730
19-03-2019,1027.43730
18-03-2019,1027.43730
17-03-2019,1027.43730
15-03-2019,1027.43730
14-03-2019,1027.43730
13-03-2019,1027.43730
12-03-2019,1027.43730
11-03-2019,1027.43730
10-03-2019,1027.43730
08-03-2019,1027.43730
07-03-2019,1027.43730
06-03-2019,1027.43730
05-03-2019,1027.43730
04-03-2019,1027.43730
01-03-2019,1027.43730
28-02-2019,1027.43730
27-02-2019,1027.43730
26-02-2019,1027.43730
25-02-2019,1027.43730
24-02-2019,1027.43730
22-02-2019,1027.43730
21-02-2019,1027.43730
20-02-2019,1027.43730
19-02-2019,1027.43730
18-02-2019,1027.43730
17-02-2019,1027.43730
15-02-2019,1027.43730
14-02-2019,1027.43730
13-02-2019,1027.43730
12-02-2019,1027.43730
11-02-2019,1027.43730
10-02-2019,1027.43730
08-02-2019,1027.43730
07-02-2019,1027.43730
06-02-2019,1027.43730
05-02-2019,1027.43730
04-02-2019,1027.43730
03-02-2019,1027.43730
01-02-2019,1027.43730
31-01-2019,1027.43730
30-01-2019,1027.43730
29-01-2019,1027.43730
28-01-2019,1027.43730
27-01-2019,1027.43730
25-01-2019,1027.43730
24-01-2019,1027.43730
23-01-2019,1027.43730
22-01-2019,1027.43730
21-01-2019,1027.43730
20-01-2019,1027.43730
18-01-2019,1027.43730
17-01-2019,1027.43730
16-01-2019,1027.43730
15-01-2019,1027.43730
14-01-2019,1027.43730
13-01-2019,1027.43730
11-01-2019,1027.43730
10-01-2019,1027.43730
09-01-2019,1027.43730
08-01-2019,1027.43730
07-01-2019,1027.43730
06-01-2019,1027.43730
04-01-2019,1027.43730
03-01-2019,1027.43730
02-01-2019,1027.43730
01-01-2019,1027.43730
31-12-2018,1027.43730
30-12-2018,1027.43730
28-12-2018,1027.43730
27-12-2018,1027.43730
26-12-2018,1027.43730
25-12-2018,1027.43730
24-12-2018,1027.43730
23-12-2018,1027.43730
21-12-2018,1027.43730
20-12-2018,1027.43730
19-12-2018,1027.43730
18-12-2018,1027.43730
17-12-2018,1027.43730
16-12-2018,1027.43730
14-12-2018,1027.43730
13-12-2018,1027.43730
12-12-2018,1027.43730
11-12-2018,1027.43730
10-12-2018,1027.43730
09-12-2018,1027.43730
06-12-2018,1027.43730
05-12-2018,1027.43730
04-12-2018,1027.43730
03-12-2018,1027.43730
02-12-2018,1027.43730
30-11-2018,1027.43730
29-11-2018,1027.43730
28-11-2018,1027.43730
27-11-2018,1027.43730
26-11-2018,1027.43730
25-11-2018,1027.43730
21-11-2018,1027.43730
20-11-2018,1027.43730
19-11-2018,1027.43730
18-11-2018,1027.43730
16-11-2018,1027.43730
15-11-2018,1027.43730
14-11-2018,1027.43730
13-11-2018,1027.43730
12-11-2018,1027.43730
11-11-2018,1027.43730
08-11-2018,1027.43730
05-11-2018,1027.43730
04-11-2018,1027.43730
02-11-2018,1027.43730
01-11-2018,1027.43730
31-10-2018,1027.43730
30-10-2018,1027.43730
29-10-2018,1027.43730
28-10-2018,1027.43730
25-10-2018,1027.43730
24-10-2018,1027.43730
23-10-2018,1027.43730
22-10-2018,1027.43730
21-10-2018,1027.43730
19-10-2018,1027.43730
18-10-2018,1027.43730
16-10-2018,1027.43730
15-10-2018,1027.43730
14-10-2018,1027.43730
11-10-2018,1027.43730
10-10-2018,1027.43730
09-10-2018,1027.43730
08-10-2018,1027.43730
07-10-2018,1027.43730
05-10-2018,1027.43730
04-10-2018,1027.43730
03-10-2018,1027.43730
02-10-2018,1027.43730
01-10-2018,1027.43730
30-09-2018,1027.43730
28-09-2018,1027.43730
27-09-2018,1027.43730
26-09-2018,1027.43730
25-09-2018,1027.43730
24-09-2018,1027.43730
23-09-2018,1027.43730
20-09-2018,1027.43730
18-09-2018,1027.43730
17-09-2018,1027.43730
16-09-2018,1027.43730
14-09-2018,1027.43730
13-09-2018,1027.43730
12-09-2018,1027.43730
11-09-2018,1027.43730
10-09-2018,1027.43730
09-09-2018,1027.43730
08-09-2018,1027.43730
07-09-2018,1027.43730
06-09-2018,1027.43730
05-09-2018,1027.43730
04-09-2018,1027.43730
03-09-2018,1027.43730
02-09-2018,1027.43730
01-09-2018,1027.43730
31-08-2018,1027.43730
30-08-2018,1027.43730
29-08-2018,1027.43730
28-08-2018,1027.43730
27-08-2018,1027.43730
26-08-2018,1027.43730
25-08-2018,1027.43730
24-08-2018,1027.43730
23-08-2018,1027.43730
22-08-2018,1027.43730
21-08-2018,1027.43730
20-08-2018,1027.43730
19-08-2018,1027.43730
18-08-2018,1027.43730
17-08-2018,1027.43730
16-08-2018,1027.43730
15-08-2018,1027.43730
14-08-2018,1027.43730
13-08-2018,1027.43730
12-08-2018,1027.43730
11-08-2018,1027.43730
10-08-2018,1027.43730
09-08-2018,1027.43730
08-08-2018,1027.43730
07-08-2018,1027.43730
06-08-2018,1027.43730
05-08-2018,1027.43730
04-08-2018,1027.43730
03-08-2018,1027.43730
02-08-2018,1027.43730
01-08-2018,1027.43730
31-07-2018,1027.43730
30-07-2018,1027.43730
29-07-2018,1027.43730
28-07-2018,1027.43730
27-07-2018,1027.43730
26-07-2018,1027.43730
25-07-2018,1027.43730
24-07-2018,1027.43730
23-07-2018,1027.43730
22-07-2018,1027.43730
21-07-2018,1027.43730
20-07-2018,1027.43730
19-07-2018,1027.43730
18-07-2018,1027.43730
17-07-2018,1027.43730
16-07-2018,1027.43730
15-07-2018,1027.43730
14-07-2018,1027.43730
13-07-2018,1027.43730
12-07-2018,1027.43730
11-07-2018,1027.43730
10-07-2018,1027.43730
09-07-2018,1027.43730
08-07-2018,1027.43730
07-07-2018,1027.43730
06-07-2018,1027.43730
05-07-2018,1027.43730
04-07-2018,1027.43730
03-07-2018,1027.43730
02-07-2018,1027.43730
01-07-2018,1027.43730
30-06-2018,1027.43730
29-06-2018,1027.43730
28-06-2018,1027.43730
27-06-2018,1027.43730
26-06-2018,1027.43730
25-06-2018,1027.43730
24-06-2018,1027.43730
23-06-2018,1027.43730
22-06-2018,1027.43730
21-06-2018,1027.43730
20-06-2018,1027.43730
19-06-2018,1027.43730
18-06-2018,1027.43730
17-06-2018,1027.43730
16-06-2018,1027.43730
15-06-2018,1027.43730
14-06-2018,1027.43730
13-06-2018,1027.43730
12-06-2018,1027.43730
11-06-2018,1027.43730
10-06-2018,1027.43730
09-06-2018,1027.43730
08-06-2018,1027.43730
07-06-2018,1027.43730
06-06-2018,1027.43730
05-06-2018,1027.43730
04-06-2018,1027.43730
03-06-2018,1027.43730
02-06-2018,1027.43730
01-06-2018,1027.43730
31-05-2018,1027.43730
30-05-2018,1027.43730
29-05-2018,1027.43730
28-05-2018,1027.43730
27-05-2018,1027.43730
26-05-2018,1027.43730
25-05-2018,1027.43730
24-05-2018,1027.43730
23-05-2018,1027.43730
22-05-2018,1027.43730
21-05-2018,1027.43730
20-05-2018,1027.43730
19-05-2018,1027.43730
18-05-2018,1027.43730
17-05-2018,1027.43730
16-05-2018,1027.43730
15-05-2018,1027.43730
14-05-2018,1027.43730
13-05-2018,1027.43730
12-05-2018,1027.43730
11-05-2018,1027.43730
10-05-2018,1027.43730
09-05-2018,1027.43730
08-05-2018,1027.43730
07-05-2018,1027.43730
06-05-2018,1027.43730
05-05-2018,1027.43730
04-05-2018,1027.43730
03-05-2018,1027.43730
02-05-2018,1027.43730
01-05-2018,1027.43730
30-04-2018,1027.43730
29-04-2018,1027.43730
28-04-2018,1027.43730
27-04-2018,1027.43730
26-04-2018,1027.43730
25-04-2018,1027.43730
24-04-2018,1027.43730
23-04-2018,1027.43730
22-04-2018,1027.43730
21-04-2018,1027.43730
20-04-2018,1027.43730
19-04-2018,1027.43730
18-04-2018,1027.43730
17-04-2018,1027.43730
16-04-2018,1027.43730
15-04-2018,1027.43730
14-04-2018,1027.43730
13-04-2018,1027.43730
12-04-2018,1027.43730
11-04-2018,1027.43730
10-04-2018,1027.43730
09-04-2018,1027.43730
08-04-2018,1027.43730
07-04-2018,1027.43730
06-04-2018,1027.43730
05-04-2018,1027.43730
04-04-2018,1027.43730
03-04-2018,1027.43730
02-04-2018,1027.43730
01-04-2018,1027.43730
31-03-2018,1027.43730
30-03-2018,1027.43730
29-03-2018,1027.43730
28-03-2018,1027.43730
27-03-2018,1027.43730
26-03-2018,1027.43730
25-03-2018,1027.43730
24-03-2018,1027.43730
23-03-2018,1027.43730
22-03-2018,1027.43730
21-03-2018,1027.43730
20-03-2018,1027.43730
19-03-2018,1027.43730
18-03-2018,1027.43730
17-03-2018,1027.43730
16-03-2018,1027.43730
15-03-2018,1027.43730
14-03-2018,1027.43730
13-03-2018,1027.43730
12-03-2018,1027.43730
11-03-2018,1027.43730
10-03-2018,1027.43730
09-03-2018,1027.43730
08-03-2018,1027.43730
07-03-2018,1027.43730
06-03-2018,1027.43730
05-03-2018,1027.43730
04-03-2018,1027.43730
03-03-2018,1027.43730
02-03-2018,1027.43730
01-03-2018,1027.43730
28-02-2018,1027.43730
27-02-2018,1027.43730
26-02-2018,1027.43730
25-02-2018,1027.43730
24-02-2018,1027.43730
23-02-2018,1027.43730
22-02-2018,1027.43730
21-02-2018,1027.43730
20-02-2018,1027.43730
19-02-2018,1027.43730
18-02-2018,1027.43730
17-02-2018,1027.43730
16-02-2018,1027.43730
15-02-2018,1027.43730
14-02-2018,1027.43730
13-02-2018,1027.43730
12-02-2018,1027.43730
11-02-2018,1027.43730
10-02-2018,1027.43730
09-02-2018,1027.43730
08-02-2018,1027.43730
07-02-2018,1027.43730
06-02-2018,1027.43730
05-02-2018,1027.43730
04-02-2018,1027.43730
03-02-2018,1027.43730
02-02-2018,1027.43730
01-02-2018,1027.43730
31-01-2018,1027.43730
30-01-2018,1027.43730
29-01-2018,1027.43730
28-01-2018,1027.43730
27-01-2018,1027.43730
26-01-2018,1027.43730
25-01-2018,1027.43730
24-01-2018,1027.43730
23-01-2018,1027.43730
22-01-2018,1027.43730
21-01-2018,1027.43730
20-01-2018,1027.43730
19-01-2018,1027.43730
18-01-2018,1027.43730
17-01-2018,1027.43730
16-01-2018,1027.43730
15-01-2018,1027.43730
14-01-2018,1027.43730
13-01-2018,1027.43730
12-01-2018,1027.43730
11-01-2018,1027.43730
10-01-2018,1027.43730
09-01-2018,1027.43730
08-01-2018,1027.43730
07-01-2018,1027.43730
06-01-2018,1027.43730
05-01-2018,1027.43730
04-01-2018,1027.43730
03-01-2018,1027.43730
02-01-2018,1027.43730
01-01-2018,1027.43730
31-12-2017,1027.43730
30-12-2017,1027.43730
29-12-2017,1027.43730
28-12-2017,1027.43730
27-12-2017,1027.43730
26-12-2017,1027.43730
25-12-2017,1027.43730
24-12-2017,1027.43730
23-12-2017,1027.43730
22-12-2017,1027.43730
21-12-2017,1027.43730
20-12-2017,1027.43730
19-12-2017,1027.43730
18-12-2017,1027.43730
17-12-2017,1027.43730
16-12-2017,1027.43730
15-12-2017,1027.43730
14-12-2017,1027.43730
13-12-2017,1027.43730
12-12-2017,1027.43730
11-12-2017,1027.43730
10-12-2017,1027.43730
09-12-2017,1027.43730
08-12-2017,1027.43730
07-12-2017,1027.43730
06-12-2017,1027.43730
05-12-2017,1027.43730
04-12-2017,1027.43730
03-12-2017,1027.43730
02-12-2017,1027.43730
01-12-2017,1027.43730
30-11-2017,1027.43730
29-11-2017,1027.43730
28-11-2017,1027.43730
27-11-2017,1027.43730
26-11-2017,1027.43730
25-11-2017,1027.43730
24-11-2017,1027.43730
23-11-2017,1027.43730
22-11-2017,1027.43730
21-11-2017,1027.43730
20-11-2017,1027.43730
19-11-2017,1027.43730
18-11-2017,1027.43730
17-11-2017,1027.43730
16-11-2017,1027.43730
15-11-2017,1027.43730
14-11-2017,1027.43730
13-11-2017,1027.43730
12-11-2017,1027.43730
11-11-2017,1027.43730
10-11-2017,1027.43730
09-11-2017,1027.43730
08-11-2017,1027.43730
07-11-2017,1027.43730
06-11-2017,1027.43730
05-11-2017,1027.43730
04-11-2017,1027.43730
03-11-2017,1027.43730
02-11-2017,1027.43730
01-11-2017,1027.43730
31-10-2017,1027.43730
30-10-2017,1027.43730
29-10-2017,1027.43730
28-10-2017,1027.43730
27-10-2017,1027.43730
26-10-2017,1027.43730
25-10-2017,1027.43730
24-10-2017,1027.43730
23-10-2017,1027.43730
22-10-2017,1027.43730
21-10-2017,1027.43730
20-10-2017,1027.43730
19-10-2017,1027.43730
18-10-2017,1027.43730
17-10-2017,1027.43730
16-10-2017,1027.43730
15-10-2017,1027.43730
14-10-2017,1027.43730
13-10-2017,1027.43730
12-10-2017,1027.43730
11-10-2017,1027.43730
10-10-2017,1027.43730
09-10-2017,1027.43730
08-10-2017,1027.43730
07-10-2017,1027.43730
06-10-2017,1027.43730
05-10-2017,1027.43730
04-10-2017,1027.43730
03-10-2017,1027.43730
02-10-2017,1027.43730
01-10-2017,1027.43730
30-09-2017,1027.43730
29-09-2017,1027.43730
28-09-2017,1027.43730
27-09-2017,1027.43730
26-09-2017,1027.43730
25-09-2017,1027.43730
24-09-2017,1027.43730
23-09-2017,1027.43730
22-09-2017,1027.43730
21-09-2017,1027.43730
20-09-2017,1027.43730
19-09-2017,1027.43730
18-09-2017,1027.43730
17-09-2017,1027.43730
16-09-2017,1027.43730
15-09-2017,1027.43730
14-09-2017,1027.43730
13-09-2017,1027.43730
12-09-2017,1027.43730
11-09-2017,1027.43730
10-09-2017,1027.43730
09-09-2017,1027.43730
08-09-2017,1027.43730
07-09-2017,1027.43730
06-09-2017,1027.43730
05-09-2017,1027.43730
04-09-2017,1027.43730
03-09-2017,1027.43730
02-09-2017,1027.43730
01-09-2017,1027.43730
31-08-2017,1027.43730
30-08-2017,1027.43730
29-08-2017,1027.43730
28-08-2017,1027.43730
27-08-2017,1027.43730
26-08-2017,1027.43730
25-08-2017,1027.43730
24-08-2017,1027.43730
23-08-2017,1027.43730
22-08-2017,1027.43730
21-08-2017,1027.43730
20-08-2017,1027.43730
19-08-2017,1027.43730
18-08-2017,1027.43730
17-08-2017,1027.43730
16-08-2017,1027.43730
15-08-2017,1027.43730
14-08-2017,1027.43730
13-08-2017,1027.43730
12-08-2017,1027.43730
11-08-2017,1027.43730
10-08-2017,1027.43730
09-08-2017,1027.43730
08-08-2017,1027.43730
07-08-2017,1027.43730
06-08-2017,1027.43730
05-08-2017,1027.43730
04-08-2017,1027.43730
03-08-2017,1027.43730
02-08-2017,1027.43730
01-08-2017,1027.43730
31-07-2017,1027.43730
30-07-2017,1027.43730
29-07-2017,1027.43730
28-07-2017,1027.43730
27-07-2017,1027.43730
26-07-2017,1027.43730
25-07-2017,1027.43730
24-07-2017,1027.43730
23-07-2017,1027.43730
22-07-2017,1027.43730
21-07-2017,1027.43730
20-07-2017,1027.43730
19-07-2017,1027.43730
18-07-2017,1027.43730
17-07-2017,1027.43730
16-07-2017,1027.43730
15-07-2017,1027.43730
14-07-2017,1027.43730
13-07-2017,1027.43730
12-07-2017,1027.43730
11-07-2017,1027.43730
10-07-2017,1027.43730
09-07-2017,1027.43730
08-07-2017,1027.43730
07-07-2017,1027.43730
06-07-2017,1027.43730
05-07-2017,1027.43730
04-07-2017,1027.43730
03-07-2017,1027.43730
02-07-2017,1027.43730
01-07-2017,1027.43730
30-06-2017,1027.43730
29-06-2017,1027.43730
28-06-2017,1027.43730
27-06-2017,1027.43730
26-06-2017,1027.43730
25-06-2017,1027.43730
24-06-2017,1027.43730
23-06-2017,1027.43730
22-06-2017,1027.43730
21-06-2017,1027.43730
20-06-2017,1027.43730
19-06-2017,1027.43730
18-06-2017,1027.43730
17-06-2017,1027.43730
16-06-2017,1027.43730
15-06-2017,1027.43730
14-06-2017,1027.43730
13-06-2017,1027.43730
12-06-2017,1027.43730
11-06-2017,1027.43730
10-06-2017,1027.43730
09-06-2017,1027.43730
08-06-2017,1027.43730
07-06-2017,1027.43730
06-06-2017,1027.43730
05-06-2017,1027.43730
04-06-2017,1027.43730
03-06-2017,1027.43730
02-06-2017,1027.43730
01-06-2017,1027.43730
31-05-2017,1027.43730
30-05-2017,1027.43730
29-05-2017,1027.43730
28-05-2017,1027.43730
27-05-2017,1027.43730
26-05-2017,1027.43730
25-05-2017,1027.43730
24-05-2017,1027.43730
23-05-2017,1027.43730
22-05-2017,1027.43730
21-05-2017,1027.43730
20-05-2017,1027.43730
19-05-2017,1027.43730
18-05-2017,1027.43730
17-05-2017,1027.43730
16-05-2017,1027.43730
15-05-2017,1027.43730
14-05-2017,1027.43730
13-05-2017,1027.43730
12-05-2017,1027.43730
11-05-2017,1027.43730
10-05-2017,1027.43730
09-05-2017,1027.43730
08-05-2017,1027.43730
07-05-2017,1027.43730
06-05-2017,1027.43730
05-05-2017,1027.43730
04-05-2017,1027.43730
03-05-2017,1027.43730
02-05-2017,1027.43730
01-05-2017,1027.43730
30-04-2017,1027.43730
29-04-2017,1027.43730
28-04-2017,1027.43730
27-04-2017,1027.43730
26-04-2017,1027.43730
25-04-2017,1027.43730
24-04-2017,1027.43730
23-04-2017,1027.43730
22-04-2017,1027.43730
21-04-2017,1027.43730
20-04-2017,1027.43730
19-04-2017,1027.43730
18-04-2017,1027.43730
17-04-2017,1027.43730
16-04-2017,1027.43730
15-04-2017,1027.43730
14-04-2017,1027.43730
13-04-2017,1027.43730
12-04-2017,1027.43730
11-04-2017,1027.43730
10-04-2017,1027.43730
09-04-2017,1027.43730
08-04-2017,1027.43730
07-04-2017,1027.43730
06-04-2017,1027.43730
05-04-2017,1027.43730
04-04-2017,1027.43730
03-04-2017,1027.43730
02-04-2017,1027.43730
01-04-2017,1027.43730
31-03-2017,1027.43730
30-03-2017,1027.43730
29-03-2017,1027.43730
28-03-2017,1027.43730
27-03-2017,1027.43730
26-03-2017,1027.43730
25-03-2017,1027.43730
24-03-2017,1027.43730
23-03-2017,1027.43730
22-03-2017,1027.43730
21-03-2017,1027.43730
20-03-2017,1027.43730
19-03-2017,1027.43730
18-03-2017,1027.43730
17-03-2017,1027.43730
16-03-2017,1027.43730
15-03-2017,1027.43730
14-03-2017,1027.43730
13-03-2017,1027.43730
12-03-2017,1027.43730
11-03-2017,1027.43730
10-03-2017,1027.43730
09-03-2017,1027.43730
08-03-2017,1027.43730
07-03-2017,1027.43730
06-03-2017,1027.43730
05-03-2017,1027.43730
04-03-2017,1027.43730
03-03-2017,1027.43730
02-03-2017,1027.43730
01-03-2017,1027.43730
28-02-2017,1027.43730
27-02-2017,1027.43730
26-02-2017,1027.43730
25-02-2017,1027.43730
24-02-2017,1027.43730
23-02-2017,1027.43730
22-02-2017,1027.43730
21-02-2017,1027.43730
20-02-2017,1027.43730
19-02-2017,1027.43730
18-02-2017,1027.43730
17-02-2017,1027.43730
16-02-2017,1027.43730
15-02-2017,1027.43730
14-02-2017,1027.43730
13-02-2017,1027.43730
12-02-2017,1027.43730
11-02-2017,1027.43730
10-02-2017,1027.43730
09-02-2017,1027.43730
08-02-2017,1027.43730
07-02-2017,1027.43730
06-02-2017,1027.43730
05-02-2017,1027.43730
04-02-2017,1027.43730
03-02-2017,1027.43730
02-02-2017,1027.43730
01-02-2017,1027.43730
31-01-2017,1027.43730
30-01-2017,1027.43730
29-01-2017,1027.43730
28-01-2017,1027.43730
27-01-2017,1027.43730
26-01-2017,1027.43730
25-01-2017,1027.43730
24-01-2017,1027.43730
23-01-2017,1027.43730
22-01-2017,1027.43730
21-01-2017,1027.43730
20-01-2017,1027.43730
19-01-2017,1027.43730
